Query,Latitude,Longitude,Country,Province,City,Street,Also near,LLD - Legal land description,LSD - Legal subdivision,UWI - Unique well identifier,BC NTS grid,UTM - Universal transverse mercator,UTM - Universal transverse mercator,Well Name,Target Formation,Date,Reported To,Company
13-30-9-8 w2,49.768307,-103.08749,Canada,SK,Tecumseh,*Near* 47 HWY (4.6 km E),,13-NW-30-9-8-2,13-30-9-8 W2,,,13N 637717E 5514626N,"Zone 13, 637717 meters easting, 5514626 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 3D13-30-1C13-31-9-8 W2M,Bakken,"Nov 26-Dec 3, 2011",Dean Malhiot,Crescent Point Energy Corp.
8-22-9-9 w2,49.746426,-103.138363,Canada,SK,Tecumseh,*Near* Railway AVE (1.1 km SSW),,8-SE-22-9-9-2,8-22-9-9 W2,,,13N 634115E 5512101N,"Zone 13, 634115 meters easting, 5512101 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 4A8-22-3A8-23-9-9 W2M,Bakken,"Dec 8-14, 2011",Dean Malhiot,Crescent Point Energy Corp.
13-32-8-9 w2,49.695437,-103.200221,Canada,SK,Tecumseh,*Near* 13 HWY (2.9 km S),,13-NW-32-8-9-2,13-32-8-9 W2,,,13N 629794E 5506324N,"Zone 13, 629794 meters easting, 5506324 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 2B13-32-2A16-32-8-9 W2M,Bakken,"Jan 5-10, 2012",Dean Malhiot,Crescent Point Energy Corp.
15-10-9-9 w2,49.724555,-103.143923,Canada,SK,Tecumseh,*Near* 33 HWY (1.1 km NE),,15-NE-10-9-9-2,15-10-9-9 W2,,,13N 633774E 5509660N,"Zone 13, 633774 meters easting, 5509660 meters northing (Northern Hemisphere)",CPEC VIEWFIELD HZ 4C15-10-2D15-15-9-9 W2M,Bakken,"Jan 16-23, 2012",Dean Malhiot,Crescent Point Energy Corp.
1-2-9-32 w1,49.71173,-101.716322,Canada,SK,Walpole,*Near* 8 HWY (1.8 km E),,1-SE-2-9-32-1,1-2-9-32 W1,,,14N 304180E 5510122N,"Zone 14, 304180 meters easting, 5510122 meters northing (Northern Hemisphere)",BDOG MAIR 2HZ 4C1-2-4C9-2-9-32 W1M,Souris Valley,"Jan 23-27, 2012",Michael Hutchison,Bulldog Resources
4-20-9-7 w2,49.742882,-102.929312,Canada,SK,Tecumseh,*Near* 47 HWY (7 km W),,4-SW-20-9-7-2,4-20-9-7 W2,,,13N 649185E 5512101N,"Zone 13, 649185 meters easting, 5512101 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B4-20--1C13-20-009-07 W2M,Bakken,"Jan 29-Feb 3, 2012",Dean Malhiot,Crescent Point Energy Corp.
4-20-9-7 w2,49.742882,-102.929312,Canada,SK,Tecumseh,*Near* 47 HWY (7 km W),,4-SW-20-9-7-2,4-20-9-7 W2,,,13N 649185E 5512101N,"Zone 13, 649185 meters easting, 5512101 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2A4-20--4B4-17-009-07 W2M,Bakken,"Feb 8-13, 2012",Dean Malhiot,Crescent Point Energy Corp.
1-21-9-7 w2,49.742897,-102.890012,Canada,SK,Tecumseh,*Near* 47 HWY (10 km W),,1-SE-21-9-7-2,1-21-9-7 W2,,,13N 652016E 5512182N,"Zone 13, 652016 meters easting, 5512182 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B1-21--3A1-16-009-07 W2M,Bakken,"Feb 19-26, 2012",Dean Malhiot,Crescent Point Energy Corp.
3-3-8-8 w2,49.611927,-103.014079,Canada,SK,Tecumseh,*Near* 47 HWY (0.6 km W),,3-SW-3-8-8-2,3-3-8-8 W2,,,13N 643463E 5497379N,"Zone 13, 643463 meters easting, 5497379 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2A3-3--4B3-34-008-08 W2M,Bakken,"Mar 2-8, 2012",Dean Malhiot,Crescent Point Energy Corp.
12-9-1-24 w1,49.023453,-100.626601,Canada,MB,Brenda,*Near* 21 HWY (5 km E),,12-NE-9-1-24 W1,12-9-1-24 W1,,,14N 381084E 5431337N,"Zone 14, 381084 meters easting, 5431337 meters northing (Northern Hemisphere)",ARC WASKADA HZNTL 12-09-001-24 WPM,Spearfish,"May 31-June 3, 2012",Robert Taylor,ARC Resources
