Query,Latitude,Longitude,Country,Province,City,Street,Also near,LLD - Legal land description,LSD - Legal subdivision,UWI - Unique well identifier,BC NTS grid,UTM - Universal transverse mercator,UTM - Universal transverse mercator,Well Name,Target Formation,Date,Reported To,Company
13-13-7-9 w2,49.564426,-103.109948,Canada,SK,Tecumseh,*Near* 47 HWY (6 km E),,13-NW-13-7-9-2,13-13-7-9 W2,,,13N 636670E 5491919N,"Zone 13, 636670 meters easting, 5491919 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2C13-13--4C13-14-007-09 W2M,Bakken,"Jan 22-29, 2014",Dan Wright,Crescent Point Energy Corp.
12-25-8-8 w2,49.677387,-102.974483,Canada,SK,Tecumseh,*Near* 13 HWY (1.0 km S),,12-NW-25-8-8-2,12-25-8-8 W2,,,13N 646127E 5504732N,"Zone 13, 646127 meters easting, 5504732 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C12-25--2A16-25-008-08 W2M,Bakken,"Feb 2-7, 2014",Dan Wright,Crescent Point Energy Corp.
13-25-8-8 w2,49.681006,-102.974476,Canada,SK,Tecumseh,*Near* 13 HWY (1.4 km S),,13-NW-25-8-8-2,13-25-8-8 W2,,,13N 646117E 5505134N,"Zone 13, 646117 meters easting, 5505134 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B13-25--1B13-26-008-08 W2M,Bakken,"Feb 9-15, 2014",Dan Wright,Crescent Point Energy Corp.
3-25-8-6 w2,49.670097,-102.697842,Canada,SK,Brock,*Near* 13 HWY (0.9 km S),,3-SW-25-8-6-2,3-25-8-6 W2,,,13N 666108E 5504496N,"Zone 13, 666108 meters easting, 5504496 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A3-25--4A3-24-008-06 W2M,Bakken,"Feb 21-27, 2014",Dan Wright,Crescent Point Energy Corp.
13-13-7-8 w2,49.564435,-102.974442,Canada,SK,Tecumseh,*Near* 47 HWY (3.5 km W),,13-NW-13-7-8-2,13-13-7-8 W2,,,13N 646468E 5492175N,"Zone 13, 646468 meters easting, 5492175 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4C13-13--1C13-12-007-08 W2M,Bakken,"Mar 5-11, 2014",Dan Wright,Crescent Point Energy Corp.
5-13-10-8 w2,49.818915,-102.974525,Canada,SK,Golden West,*Near* 47 HWY (3.6 km W),,5-SW-13-10-8-2,5-13-10-8 W2,,,13N 645699E 5520465N,"Zone 13, 645699 meters easting, 5520465 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4B5-13--4B5-14-010-08 W2M,Bakken,"May 24-30, 2014",Dan Wright,Crescent Point Energy Corp.
9-36-9-7 w2,49.77917,-102.82228,Canada,SK,Golden West,*Near* Prairie RD (8 km NNE),,9-NE-36-9-7-2,9-36-9-7 W2,,,13N 656778E 5516354N,"Zone 13, 656778 meters easting, 5516354 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1D9-36--2D9-31-009-07 W2M,Bakken,"June 2-8, 2014",Dan Wright,Crescent Point Energy Corp.
9-25-9-8 w2,49.764763,-102.957759,Canada,SK,Tecumseh,*Near* 47 HWY (4.7 km W),,9-NE-25-9-8-2,9-25-9-8 W2,,,13N 647069E 5514478N,"Zone 13, 647069 meters easting, 5514478 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4A9-25--1C12-25-009-08 W2M,Bakken,"June 11-18, 2014",Dan Wright,Crescent Point Energy Corp.
1-7-8-7 w2,49.626338,-102.935125,Canada,SK,Tecumseh,*Near* Railway AVE (4.4 km NE),,1-SE-7-8-7-2,1-7-8-7 W2,,,13N 649122E 5499134N,"Zone 13, 649122 meters easting, 5499134 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3A1-07--4B1-06-008-07 W2M,Bakken,"July 13-20, 2014",Dan Wright,Crescent Point Energy Corp.
2-16-9-8 w2,49.728379,-103.03105,Canada,SK,Tecumseh,*Near* 47 HWY (0.6 km E),,2-SE-16-9-8-2,2-16-9-8 W2,,,13N 641898E 5510292N,"Zone 13, 641898 meters easting, 5510292 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A2-16--1D15-16-009-08 W2M,Bakken,"July 23-29, 2014",Dan Wright,Crescent Point Energy Corp.
3-16-9-8 w2,49.72838,-103.036623,Canada,SK,Tecumseh,*Near* 47 HWY (1.0 km E),,3-SW-16-9-8-2,3-16-9-8 W2,,,13N 641496E 5510282N,"Zone 13, 641496 meters easting, 5510282 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A3-16-1D14-16-009-08 W2M,Bakken,"Aug 6-12, 2014",Dan Wright,Crescent Point Energy Corp.
13-34-9-8 w2,49.782785,-103.019685,Canada,SK,Golden West,*Near* 47 HWY (291 meters W),,13-NW-34-9-8-2,13-34-9-8 W2,,,13N 642557E 5516362N,"Zone 13, 642557 meters easting, 5516362 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4C13-34--1C13-33-009-08 W2M,Bakken,"Aug 15-22, 2014",Dan Wright,Crescent Point Energy Corp.
1-5-7-8 w2,49.524581,-103.048086,Canada,SK,Tecumseh,*Near* 47 HWY (1.8 km E),,1-SE-5-7-8-2,1-5-7-8 W2,,,13N 641258E 5487604N,"Zone 13, 641258 meters easting, 5487604 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1D1-05--3B4-05-007-08 W2M,Bakken,"Sept 13-17, 2014",Dan Wright,Crescent Point Energy Corp.
14-19-43-4 w5,52.725615,-114.572392,Canada,AB,Ponoka County,*Near* Range Road 45 (1.0 km ENE),Leedale (17 km SSE),14-NW-19-43-4-5,14-19-43-4 W5,,,11N 663936E 5844512N,"Zone 11, 663936 meters easting, 5844512 meters northing (Northern Hemisphere)",Regent et al Hz Wilsonck 14-19-43-4 W5,Cardium,"Sept 22-26, 2014",Steve Vaudry,Regent Resources
13-16-44-4 w5,52.798332,-114.530115,Canada,AB,Ponoka County,*Near* Range Road 44 (209 meters W),Hoadley (12 km ENE),13-NW-16-44-4-5,13-16-44-4 W5,,,11N 666512E 5852696N,"Zone 11, 666512 meters easting, 5852696 meters northing (Northern Hemisphere)",Regent et al Hz Minhik 13-16-44-4 W5,Cardium,"Oct 4-9, 2014",Steve Vaudry,Regent Resources
15-26-43-5 w5,52.740265,-114.614976,Canada,AB,Clearwater County,*Near* Medicine Lake Road (1.2 km WSW),Buck Lake #133C (17 km N),15-NE-26-43-5-5,15-26-43-5 W5,,,11N 661006E 5846046N,"Zone 11, 661006 meters easting, 5846046 meters northing (Northern Hemisphere)",Regent Wilsonck 15-26-43-5 W5,Cardium,"Oct 16-26, 2014",Steve Vaudry,Regent Resources
4-26-9-10 w2,49.757439,-103.266334,Canada,SK,Fillmore,*Near* 33 HWY (3.6 km NE),,4-SW-26-9-10-2,4-26-9-10 W2,,,13N 624868E 5513104N,"Zone 13, 624868 meters easting, 5513104 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C4-26--3C4-27-009-10 W2M,Bakken,"Nov 4-11, 2014",Dan Wright,Crescent Point Energy Corp.
5-8-10-8 w2,49.804852,-103.065561,Canada,SK,Golden West,*Near* 47 HWY (3.0 km E),,5-SW-8-10-8-2,5-8-10-8 W2,,,13N 639192E 5518729N,"Zone 13, 639192 meters easting, 5518729 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3B5-08--4C4-07-010-08 W2M,Bakken,"Nov 15-21, 2014",Dan Wright,Crescent Point Energy Corp.
12-4-9-9 w2,49.706497,-103.177626,Canada,SK,Tecumseh,*Near* South AVE (3.3 km NNE),,12-NW-4-9-9-2,12-4-9-9 W2,,,13N 631394E 5507593N,"Zone 13, 631394 meters easting, 5507593 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C12-04--4C12-05-009-09 W2M,Bakken,"Nov 24-30, 2014",Dan Wright,Crescent Point Energy Corp.
15-4-9-7 w2,49.710114,-102.89556,Canada,SK,Tecumseh,*Near* 13 HWY (4.6 km S),,15-NE-4-9-7-2,15-4-9-7 W2,,,13N 651718E 5508526N,"Zone 13, 651718 meters easting, 5508526 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C15-04--2C15-09-009-07 W2M,Bakken,"Jan 5-11, 2015",Dan Wright,Crescent Point Energy Corp.
9-10-9-7 w2,49.720926,-102.867395,Canada,SK,Tecumseh,*Near* 13 HWY (6 km S),,9-NE-10-9-7-2,9-10-9-7 W2,,,13N 653715E 5509786N,"Zone 13, 653715 meters easting, 5509786 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4D9-10--3D9-11-009-07 W2M,Bakken,"Jan 15-20, 2015",Dan Wright,Crescent Point Energy Corp.
16-23-9-7 w2,49.753692,-102.844825,Canada,SK,Tecumseh,*Near* 605 HWY (12 km NE),,16-NE-23-9-7-2,16-23-9-7 W2,,,13N 655237E 5513475N,"Zone 13, 655237 meters easting, 5513475 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3D16-23--3A1-23-009-07 W2M,Bakken,"Jan 22-28, 2015",Dan Wright,Crescent Point Energy Corp.
16-23-9-7 w2,49.753692,-102.844825,Canada,SK,Tecumseh,*Near* 605 HWY (12 km NE),,16-NE-23-9-7-2,16-23-9-7 W2,,,13N 655237E 5513475N,"Zone 13, 655237 meters easting, 5513475 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 7D16-23--3D16-26-009-07 W2M,Bakken,"Jan 30-Feb 5, 2015",Dan Wright,Crescent Point Energy Corp.
15-6-8-8 w2,49.62275,-103.076238,Canada,SK,Tecumseh,*Near* 47 HWY (3.8 km E),,15-NE-6-8-8-2,15-6-8-8 W2,,,13N 638942E 5498465N,"Zone 13, 638942 meters easting, 5498465 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3D15-06--2D7-07-008-08 W2M,Bakken,"Feb 7-12, 2015",Dan Wright,Crescent Point Energy Corp.
8-8-9-9 w2,49.717316,-103.183456,Canada,SK,Tecumseh,*Near* South AVE (2.6 km NE),,8-SE-8-9-9-2,8-8-9-9 W2,,,13N 630945E 5508785N,"Zone 13, 630945 meters easting, 5508785 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4D8-08--1B12-08-009-09 W2M,Bakken,"Feb 16-21, 2015",Dan Wright,Crescent Point Energy Corp.
16-16-8-8 w2,49.651905,-103.025473,Canada,SK,Stoughton,47 Hwy,,16-NE-16-8-8-2,16-16-8-8 W2,,,13N 642523E 5501801N,"Zone 13, 642523 meters easting, 5501801 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A16-16--2B13-16-008-08 W2M,Bakken,"Feb 25-Mar 3, 2015",Dan Wright,Crescent Point Energy Corp.
13-13-8-8 w2,49.65188,-102.974495,Canada,SK,Tecumseh,*Near* 13 HWY (1.9 km N),,13-NW-13-8-8-2,13-13-8-8 W2,,,13N 646203E 5501896N,"Zone 13, 646203 meters easting, 5501896 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 5D13-13--2C14-24-008-08 W2M,Bakken,"Mar 6-11, 2015",Dan Wright,Crescent Point Energy Corp.
12-32-8-8 w2,49.691854,-103.064779,Canada,SK,Tecumseh,*Near* 33 HWY (394 meters NNE),,12-NW-32-8-8-2,12-32-8-8 W2,,,13N 639572E 5506168N,"Zone 13, 639572 meters easting, 5506168 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4C12-32--2A16-32-008-08 W2M,Bakken,"May 31-June 6, 2015",Dan Wright,Crescent Point Energy Corp.
3-28-8-8 w2,49.670129,-103.036683,Canada,SK,Tecumseh,13 Hwy,,3-SW-28-8-8-2,3-28-8-8 W2,,,13N 641661E 5503806N,"Zone 13, 641661 meters easting, 5503806 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 10B3-28--3B3-21-008-08 W2M,Bakken,"June 8-13, 2015",Dan Wright,Crescent Point Energy Corp.
4-32-8-8 w2,49.684616,-103.064791,Canada,SK,Tecumseh,*Near* 33 HWY (1.0 km NNE),,4-SW-32-8-8-2,4-32-8-8 W2,,,13N 639592E 5505364N,"Zone 13, 639592 meters easting, 5505364 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 7B4-32--4C4-31-008-08 W2M,Bakken,"June 16-22, 2015",Dan Wright,Crescent Point Energy Corp.
5-25-8-8 w2,49.673768,-102.974489,Canada,SK,Tecumseh,*Near* 13 HWY (0.6 km S),,5-SW-25-8-8-2,5-25-8-8 W2,,,13N 646137E 5504329N,"Zone 13, 646137 meters easting, 5504329 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B5-25--2A8-25-008-08 W2M,Bakken,"June 24-29, 2015",Dean Malhiot,Crescent Point Energy Corp.
5-25-8-8 w2,49.673768,-102.974489,Canada,SK,Tecumseh,*Near* 13 HWY (0.6 km S),,5-SW-25-8-8-2,5-25-8-8 W2,,,13N 646137E 5504329N,"Zone 13, 646137 meters easting, 5504329 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 11B5-25--1B5-26-008-08 W2M,Bakken,"July 2-8, 2015",Dean Malhiot,Crescent Point Energy Corp.
1-34-8-8 w2,49.684677,-103.00293,Canada,SK,Tecumseh,*Near* Sidney AVE (1.2 km WSW),,1-SE-34-8-8-2,1-34-8-8 W2,,,13N 644053E 5505487N,"Zone 13, 644053 meters easting, 5505487 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 6B1-34--3B1-27-008-08 W2M,Bakken,"July 10-17, 2015",Dean Malhiot,Crescent Point Energy Corp.
13-12-8-10 w2,49.6372,-103.245452,Canada,SK,Griffin,*Near* 13 HWY (3.5 km N),,13-NW-12-8-10-2,13-12-8-10 W2,,,13N 626684E 5499772N,"Zone 13, 626684 meters easting, 5499772 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3C13-12--4C13-11-008-10 W2M,Bakken,"Sept 22-27, 2015",Dan Wright,Crescent Point Energy Corp.
12-11-8-10 w2,49.633558,-103.268045,Canada,SK,Griffin,*Near* 13 HWY (3.9 km N),,12-NW-11-8-10-2,12-11-8-10 W2,,,13N 625062E 5499330N,"Zone 13, 625062 meters easting, 5499330 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 3B12-11--1B12-10-008-10 W2M,Bakken,"Oct 1-5, 2015",Dan Wright,Crescent Point Energy Corp.
4-30-8-9 w2,49.67013,-103.222864,Canada,SK,Tecumseh,13 Hwy,,4-SW-30-8-9-2,4-30-8-9 W2,,,13N 628228E 5503472N,"Zone 13, 628228 meters easting, 5503472 meters northing (Northern Hemisphere)",CPEC VIEWFIELD VU Hz 2C4-30--4C2-25-008-09 W2M,Bakken,"Oct 22-26, 2015",Dan Wright,Crescent Point Energy Corp.
2-1-8-11 w2,49.611878,-103.369839,Canada,SK,Griffin,*Near* 606 HWY (4.3 km W),,2-SE-1-8-11-2,2-1-8-11 W2,,,13N 617764E 5496755N,"Zone 13, 617764 meters easting, 5496755 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1B2-01--3A2-36-008-11 W2M,Bakken,"Oct 30-Nov 13, 2015",Nathan Baker,Crescent Point Energy Corp.
9-12-8-10 w2,49.633554,-103.228752,Canada,SK,Tecumseh,*Near* 13 HWY (3.9 km N),,9-NE-12-8-10-2,9-12-8-10 W2,,,13N 627899E 5499395N,"Zone 13, 627899 meters easting, 5499395 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 1A9-12--2D9-07-008-10 W2M,Bakken,"Jan 5-9, 2016",Lauren Muller,Crescent Point Energy Corp.
4-13-8-11 w2,49.641052,-103.380966,Canada,SK,Griffin,*Near* 13 HWY (3.1 km N),,4-SW-13-8-11-2,4-13-8-11 W2,,,13N 616891E 5499981N,"Zone 13, 616891 meters easting, 5499981 meters northing (Northern Hemisphere)",CPEC HZ 4-12-8-11W2 (4-13),Bakken,"Jan 12-17, 2016",Lauren Muller,Crescent Point Energy Corp.
5-5-8-9 w2,49.615514,-103.200251,Canada,SK,Tecumseh,*Near* 13 HWY (6 km N),,5-SW-5-8-9-2,5-5-8-9 W2,,,13N 630005E 5497439N,"Zone 13, 630005 meters easting, 5497439 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 2B5-05--1B5-06-008-09 W2M,Bakken,"Jan 20-25, 2016",Lauren Muller,Crescent Point Energy Corp.
9-21-8-9 w2,49.662761,-103.16097,Canada,SK,Tecumseh,*Near* 13 HWY (0.7 km N),,9-NE-21-8-9-2,9-21-8-9 W2,,,13N 632714E 5502760N,"Zone 13, 632714 meters easting, 5502760 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4D9-21--3C12-21-008-09 W2M,Bakken,"Jan 27-Feb 2, 2016",Lauren Muller,Crescent Point Energy Corp.
16-13-8-9 w2,49.651844,-103.093249,Canada,SK,Tecumseh,*Near* 13 HWY (1.9 km N),,16-NE-13-8-9-2,16-13-8-9 W2,,,13N 637631E 5501668N,"Zone 13, 637631 meters easting, 5501668 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 4D16-13--2C13-19-008-09 W2M,Bakken,"Feb 3-8, 2016",Lauren Muller,Crescent Point Energy Corp.
8-15-8-8 w2,49.64468,-103.002943,Canada,SK,Tecumseh,*Near* 47 HWY (1.4 km W),,8-SE-15-8-8-2,8-15-8-8 W2,,,13N 644171E 5501041N,"Zone 13, 644171 meters easting, 5501041 meters northing (Northern Hemisphere)",CPEC VIEWFIELD Hz 5A8-15--6A8-14-008-08 W2M,Bakken,"Feb 15-21, 2016",Lauren Muller,Crescent Point Energy Corp.
1-1-4-20 w3,49.263563,-108.564754,Canada,SK,White Valley,*Near* Second ST (6 km S),,1-SE-1-4-20-3,1-1-4-20 W3,,,12N 677170E 5459609N,"Zone 12, 677170 meters easting, 5459609 meters northing (Northern Hemisphere)",CPEC Rapdan HZ 6B1-1-4B1-36-4-20W3,Upper Shaunavon B,"Aug 2-6, 2016",Angela Galipeault,Crescent Point Energy Corp.
14-26-4-20 w3,49.332696,-108.598314,Canada,SK,White Valley,*Near* White Valley RD (10 km NNE),,14-NW-26-4-20-3,14-26-4-20 W3,,,12N 674485E 5467216N,"Zone 12, 674485 meters easting, 5467216 meters northing (Northern Hemisphere)",CPEC Rapdan HZ 7D14-26-1D14-35-4-20W3,Lower Shaunavon,"Aug 8-12, 2016",Angela Galipeault,Crescent Point Energy Corp.
16-16-5-20 w3,49.390991,-108.632068,Canada,SK,White Valley,*Near* White Valley RD (8 km ENE),,16-NE-16-5-20-3,16-16-5-20 W3,,,12N 671829E 5473618N,"Zone 12, 671829 meters easting, 5473618 meters northing (Northern Hemisphere)",CPEC Eastbrook  HZ 4C16-16-2C16-21-5-20W3,Lower Shaunavon,"Aug 14-18, 2016",Angela Galipeault,Crescent Point Energy Corp.
15-3-6-20 w3,49.449182,-108.615198,Canada,SK,White Valley,*Near* White Valley RD (8 km SE),,15-NE-3-6-20-3,15-3-6-20 W3,,,12N 672849E 5480125N,"Zone 12, 672849 meters easting, 5480125 meters northing (Northern Hemisphere)",CPEC Eastend HZ 4D15-3-1D15-10-6-20W3,Upper Shaunavon B,"Aug 29-31, 2016",Angela Galipeault,Crescent Point Energy Corp.
1-17-5-20 w3,49.380109,-108.654552,Canada,SK,White Valley,*Near* 614 HWY (8 km W),,1-SE-17-5-20-3,1-17-5-20 W3,,,12N 670236E 5472358N,"Zone 12, 670236 meters easting, 5472358 meters northing (Northern Hemisphere)",CPEC Eastbrook HZ 3A1-17-2D1-16-5-20W3,Upper Shaunavon B,"Sep 3-7, 2016",Angela Galipeault,Crescent Point Energy Corp.
14-16-5-20 w3,49.390977,-108.643181,Canada,SK,White Valley,*Near* 614 HWY (9 km W),,14-NW-16-5-20-3,14-16-5-20 W3,,,12N 671023E 5473591N,"Zone 12, 671023 meters easting, 5473591 meters northing (Northern Hemisphere)",CPEC Eastbrook HZ 3C14-16-1D13-21-5-20W3,Lower Shaunavon,"Sep 11-15, 2016",Angela Galipeault,Crescent Point Energy Corp.
16-16-5-20 w3,49.390991,-108.632068,Canada,SK,White Valley,*Near* White Valley RD (8 km ENE),,16-NE-16-5-20-3,16-16-5-20 W3,,,12N 671829E 5473618N,"Zone 12, 671829 meters easting, 5473618 meters northing (Northern Hemisphere)",CPEC Eastbrook HZ 11D16-16-6D16-21-5-20W3,Upper Shaunavon B,"Sep 17-20, 2016",Angela Galipeault,Crescent Point Energy Corp.
14-25-4-20 w3,49.332722,-108.575898,Canada,SK,White Valley,*Near* White Valley RD (9 km NNE),,14-NW-25-4-20-3,14-25-4-20 W3,,,12N 676113E 5467271N,"Zone 12, 676113 meters easting, 5467271 meters northing (Northern Hemisphere)",CPEC HZ 3D14-25-1C14-36-4-20W3,Upper Shaunavon B,"Sep 29-Oct 3, 2016",Angela Galipeault,Crescent Point Energy Corp.
1-35-5-20 w3,49.423669,-108.587232,Canada,SK,White Valley,*Near* White Valley RD (4.9 km ESE),,1-SE-35-5-20-3,1-35-5-20 W3,,,12N 674966E 5477354N,"Zone 12, 674966 meters easting, 5477354 meters northing (Northern Hemisphere)",CPEC Eastend HZ 4B1-35-3A2-26-5-20 W3,Upper Shaunavon B,"Oct 26-30, 2016",Angela Galipeault,Crescent Point Energy Corp.
14-8-5-20 w3,49.376312,-108.665577,Canada,SK,White Valley,*Near* 614 HWY (7 km W),,14-NW-8-5-20-3,14-8-5-20 W3,,,12N 669448E 5471911N,"Zone 12, 669448 meters easting, 5471911 meters northing (Northern Hemisphere)",CPEC Eastbrook HZ 3D14-8-2D14-17-5-20W3,Upper Shaunavon B,"Nov 6-10, 2016",Angela Galipeault,Crescent Point Energy Corp.
8-17-5-20 w3,49.383728,-108.654553,Canada,SK,White Valley,*Near* 614 HWY (8 km W),,8-SE-17-5-20-3,8-17-5-20 W3,,,12N 670223E 5472760N,"Zone 12, 670223 meters easting, 5472760 meters northing (Northern Hemisphere)",CPEC Eastbrook HZ 4A8-17-1A7-16-5-20W3,Upper Shaunavon B,"Nov 13-16, 2016",Angela Galipeault,Crescent Point Energy Corp.
13-25-5-20 w3,49.420059,-108.581416,Canada,SK,White Valley,*Near* White Valley RD (4.3 km ESE),,13-NW-25-5-20-3,13-25-5-20 W3,,,12N 675401E 5476966N,"Zone 12, 675401 meters easting, 5476966 meters northing (Northern Hemisphere)",CPEC RAPDAN N HZ 3D13-35-2D13-2-5-20W3,Lower Shaunavon,"Nov 19-23, 2016",Angela Galipeault,Crescent Point Energy Corp.
15-26-4-20 w3,49.332707,-108.59278,Canada,SK,White Valley,*Near* White Valley RD (10 km NNE),,15-NE-26-4-20-3,15-26-4-20 W3,,,12N 674887E 5467230N,"Zone 12, 674887 meters easting, 5467230 meters northing (Northern Hemisphere)",CPEC Rapdan HZ 4D15-26-2C16-35-4-20W3,Lower Shaunavon,"Dec 4-6, 2016",Angela Galipeault,Crescent Point Energy Corp.
15-26-4-20 w3,49.332707,-108.59278,Canada,SK,White Valley,*Near* White Valley RD (10 km NNE),,15-NE-26-4-20-3,15-26-4-20 W3,,,12N 674887E 5467230N,"Zone 12, 674887 meters easting, 5467230 meters northing (Northern Hemisphere)",CPEC Rapdan HZ 8D15-26-2D15-35-4-20W3,Lower Shaunavon,"Dec 9-13, 2016",Angela Galipeault,Crescent Point Energy Corp.
14-25-4-20 w3,49.332722,-108.575898,Canada,SK,White Valley,*Near* White Valley RD (9 km NNE),,14-NW-25-4-20-3,14-25-4-20 W3,,,12N 676113E 5467271N,"Zone 12, 676113 meters easting, 5467271 meters northing (Northern Hemisphere)",CPEC HZ 8D14-25-1D14-36-4-20W3,Upper Shaunavon B,"Dec 16-21, 2016",Angela Galipeault,Crescent Point Energy Corp.
14-25-4-20 w3,49.332722,-108.575898,Canada,SK,White Valley,*Near* White Valley RD (9 km NNE),,14-NW-25-4-20-3,14-25-4-20 W3,,,12N 676113E 5467271N,"Zone 12, 676113 meters easting, 5467271 meters northing (Northern Hemisphere)",CPEC HZ 4D14-25-2C15-36-4-20W3,Upper Shaunavon B,"Jan 3-7, 2017",Angela Galipeault,Crescent Point Energy Corp.
13-11-4-20 w3,49.288916,-108.603812,Canada,SK,White Valley,*Near* 614 HWY (10 km WSW),,13-NW-11-4-20-3,13-11-4-20 W3,,,12N 674240E 5462337N,"Zone 12, 674240 meters easting, 5462337 meters northing (Northern Hemisphere)",CPEC RAPDAN UNIT HZ 11D13-11-2C14-14-4-20W3,Upper Shaunavon B,"Jan 10-14, 2017",Angela Galipeault,Crescent Point Energy Corp.
4-36-4-20 w3,49.336341,-108.581436,Canada,SK,White Valley,*Near* White Valley RD (9 km NNE),,4-SW-36-4-20-3,4-36-4-20 W3,,,12N 675698E 5467660N,"Zone 12, 675698 meters easting, 5467660 meters northing (Northern Hemisphere)",CPEC HZ 5B4-36-3A4-25-4-20W3,Upper Shaunavon B,"Jan 17-21, 2017",Angela Galipeault,Crescent Point Energy Corp.
16-29-4-20 w3,49.332737,-108.654515,Canada,SK,White Valley,*Near* 614 HWY (8 km W),,16-NE-29-4-20-3,16-29-4-20 W3,,,12N 670402E 5467092N,"Zone 12, 670402 meters easting, 5467092 meters northing (Northern Hemisphere)",CPEC HZ 3C16-29-1D15-32-4-20W3,Upper Shaunavon B,"Jan 24-28, 2017",Angela Galipeault,Crescent Point Energy Corp.
13-10-4-20 w3,49.288964,-108.62621,Canada,SK,White Valley,*Near* 614 HWY (9 km WSW),,13-NW-10-4-20-3,13-10-4-20 W3,,,12N 672611E 5462290N,"Zone 12, 672611 meters easting, 5462290 meters northing (Northern Hemisphere)",CPEC HZ 14-15-004-20W3 (13-10),Upper Shaunavon B,"Jan 30-Feb 4, 2017",Angela Galipeault,Crescent Point Energy Corp.
13-10-4-20 w3,49.288964,-108.62621,Canada,SK,White Valley,*Near* 614 HWY (9 km WSW),,13-NW-10-4-20-3,13-10-4-20 W3,,,12N 672611E 5462290N,"Zone 12, 672611 meters easting, 5462290 meters northing (Northern Hemisphere)",CPEC HZ (103) 13-15-004-20W3 (13-10),Upper Shaunavon B,"Feb 7-12, 2017",Angela Galipeault,Crescent Point Energy Corp.
13-10-4-20 w3,49.288964,-108.62621,Canada,SK,White Valley,*Near* 614 HWY (9 km WSW),,13-NW-10-4-20-3,13-10-4-20 W3,,,12N 672611E 5462290N,"Zone 12, 672611 meters easting, 5462290 meters northing (Northern Hemisphere)",CPEC HZ (102) 13-15-004-20W3 (13-10),Upper Shaunavon B,"Feb 15-19, 2017",Angela Galipeault,Crescent Point Energy Corp.
1-9-4-20 w3,49.278123,-108.631997,Canada,SK,White Valley,*Near* 614 HWY (8 km WSW),,1-SE-9-4-20-3,1-9-4-20 W3,,,12N 672228E 5461072N,"Zone 12, 672228 meters easting, 5461072 meters northing (Northern Hemisphere)",CPEC HZ (103) 02-04-004-20W3 (01-09),Upper Shaunavon B,"Feb 23-28, 2017",Angela Galipeault,Crescent Point Energy Corp.
